device /dev/input/event10, name "ELAN Touchscreen", phys "usb-0000:00:14.0-4.4/input0"
(InputEvent(1480382775L, 68641L, 3, 61, 1166L), '---', 1166L)
(InputEvent(1480382775L, 68641L, 3, 1, 1166L), '---', 1166L)
(InputEvent(1480382775L, 76636L, 3, 48, 1L), '---', 1L)
(InputEvent(1480382775L, 76636L, 3, 49, 1L), '---', 1L)
(InputEvent(1480382775L, 83613L, 3, 57, -1L), '---', -1L)
(InputEvent(1480382775L, 673084L, 3, 57, 1494L), '---', 1494L)
(InputEvent(1480382775L, 673084L, 3, 53, 1825L), '---', 1825L)
(InputEvent(1480382775L, 673084L, 3, 54, 695L), '---', 695L)
(InputEvent(1480382775L, 673084L, 3, 60, 1825L), '---', 1825L)
(InputEvent(1480382775L, 673084L, 3, 61, 695L), '---', 695L)
(InputEvent(1480382775L, 673084L, 3, 48, 2L), '---', 2L)
(InputEvent(1480382775L, 673084L, 3, 49, 2L), '---', 2L)
(InputEvent(1480382775L, 673084L, 3, 0, 1825L), '---', 1825L)
(InputEvent(1480382775L, 673084L, 3, 1, 695L), '---', 695L)
(InputEvent(1480382775L, 722032L, 3, 48, 3L), '---', 3L)
(InputEvent(1480382775L, 729801L, 3, 53, 1824L), '---', 1824L)
(InputEvent(1480382775L, 729801L, 3, 54, 696L), '---', 696L)
(InputEvent(1480382775L, 729801L, 3, 60, 1824L), '---', 1824L)
(InputEvent(1480382775L, 729801L, 3, 61, 696L), '---', 696L)
(InputEvent(1480382775L, 729801L, 3, 0, 1824L), '---', 1824L)
(InputEvent(1480382775L, 729801L, 3, 1, 696L), '---', 696L)
(InputEvent(1480382775L, 737753L, 3, 53, 1823L), '---', 1823L)
(InputEvent(1480382775L, 737753L, 3, 54, 697L), '---', 697L)
(InputEvent(1480382775L, 737753L, 3, 60, 1823L), '---', 1823L)
(InputEvent(1480382775L, 737753L, 3, 61, 697L), '---', 697L)
(InputEvent(1480382775L, 737753L, 3, 48, 4L), '---', 4L)
(InputEvent(1480382775L, 737753L, 3, 0, 1823L), '---', 1823L)
(InputEvent(1480382775L, 737753L, 3, 1, 697L), '---', 697L)
(InputEvent(1480382775L, 746013L, 3, 53, 1822L), '---', 1822L)
(InputEvent(1480382775L, 746013L, 3, 54, 698L), '---', 698L)
(InputEvent(1480382775L, 746013L, 3, 60, 1822L), '---', 1822L)
(InputEvent(1480382775L, 746013L, 3, 61, 698L), '---', 698L)
(InputEvent(1480382775L, 746013L, 3, 49, 3L), '---', 3L)
(InputEvent(1480382775L, 746013L, 3, 0, 1822L), '---', 1822L)
(InputEvent(1480382775L, 746013L, 3, 1, 698L), '---', 698L)
(InputEvent(1480382775L, 754033L, 3, 53, 1821L), '---', 1821L)
(InputEvent(1480382775L, 754033L, 3, 54, 699L), '---', 699L)
(InputEvent(1480382775L, 754033L, 3, 60, 1821L), '---', 1821L)
(InputEvent(1480382775L, 754033L, 3, 61, 699L), '---', 699L)
(InputEvent(1480382775L, 754033L, 3, 0, 1821L), '---', 1821L)
